"길명",길소개,총길이,총소요시간,시작지점명,시작지점도로명주소,시작지점소재지지번주소,종료지점명,종료지점소재지도로명주소,종료지점소재지지번주소,경로정보,관리기관전화번호,관리기관명,데이터기준일자
"소파방정환길B",어린이라는 말을 처음 만들고 한국 최초 동화집을 펴낸 아동문학가 소파 방정환을 알아보는 길,2,2시간,매동초등학교,서울특별시 종로구 사직로9길 19,서울특별시 종로구 필운동 32,사직단,서울특별시 종로구 사직동 1-48,서울특별시 종로구 사직동 1-48,매동초등학교 → 종로도서관 → 황학정 → 도정궁터 → 사직단,02-2148-1858,서울특별시 종로구청,2018-08-16
"삼청동",과거와 현재의 조화가 만들어낸 이색적인 삼청동 풍경을 보는 길,3,3시간,윤보선가,서울특별시 종로구 윤보선길 62,서울특별시 종로구 안국동 8-1,안동별궁 터  및 담장길,서울특별시 종로구 윤보선길 17,서울특별시 종로구 안국동 175-2,윤보선가 → 안동교회 → 조선어학회 터 → 서울교육박물관→ 삼청동 전망대 → 기기국 번사창→ 삼청공원 → 운용천샘터 → 기천석→ 정조대왕 우물터 → 칠보사 → 삼청동 카페길 → ''''판서길’(팔판동)→ 삼청동문 각자바위 → 소격서 터 → 국립현대미술관 서울관 →  종친부 → 안동별궁 터 및 담장길,02-2148-1858,서울특별시 종로구청,2018-08-16
"부암동A","커피프린스 1호점 등 드라마 촬영지 여행 및 도룡농, 맹꽁이 등 도심 속 생태 탐방하는 길",3,2시간30분,윤동주문학관,서울특별시 종로구 창의문로 119,서울특별시 종로구 청운동 3-100,세검정터,서울특별시 종로구 세검정로 244,서울특별시 종로구 신영동 168-6,"윤동주 문학관, 시인의 언덕 → 최규식 경무관 동상 → 창의문 → 환기미술관 → ‘커피프린스 1호점’ 촬영지 → 백석동천(백사실 계곡) → 세검정터",02-2148-1858,서울특별시 종로구청,2018-08-16
"부암동B","안평대군 이용 집터, 현진건 집터 등 유서깊은 장소를 걷는 길",3,2시간30분,무계원,서울특별시 종로구 창의문로5가길 3,서울특별시 종로구 부암동 322-4,석파정,서울특별시 종로구 창의문로11길 4-1,서울특별시 종로구 부암동 201-1,무계원 → 안평대군 이용 집터 → 현진건 집터 → 반계 윤웅렬 별장 → 자하미술관 → 서울미술관 → 석파정,02-2148-1858,서울특별시 종로구청,2018-08-16
"평창동A",문인들의 자취를 따라 걷는 문학 산책로,4,2시간30분,별기군 훈련소 터,서울특별시 종로구 평창문화로 50,서울특별시 종로구 평창동 235-2,상명대학교박물관,서울특별시 종로구 평창문화로 151 B동,서울특별시 종로구 평창동 577-7 B동,별기군 훈련소 터 → 평창 터 → 박종화 가옥 → 보현산신각 → 가인갤러리 → 영인문학관 → 갤러리 세줄 →상명대학교 박물관,02-2148-1858,서울특별시 종로구청,2018-08-16
"평창동B","가나아트센터, 토탈미술관, 김종영미술관 등 미술관 순례",4,2시간30분,상명대학교 박물관,서울특별시 종로구 평창문화로 151 B동,서울특별시 종로구 평창동 577-7 B동,키미미술관,서울특별시 종로구 평창30길 47,서울특별시 종로구 평창동 479-2,상명대학교 박물관 → 연화정사 → 김종영 미술관 → 토탈미술관 → 가나아트센터 → 키미미술관,02-2148-1858,서울특별시 종로구청,2018-08-16
"무악교남동","보이지 않는 문 돈의문 이야기 및 경교장, 딜쿠샤 등 근현대사 여행, 인왕산 선바위가 전하는 이야기를 따라 가는 길",4,2시간30분,돈의문 터,서울특별시 종로구 평동 112,서울특별시 종로구 평동 112,무악공원,서울특별시 종로구 무악동 57-9,서울특별시 종로구 무악동 57-9,"돈의문 터 → 경교장 → 월암근린공원 → 홍난파 가옥 → 딜쿠샤, 권율 도원수 집 터 → 한양도성 → 해골 바위 → 인왕산 국사당,  선바위 → 마애불 → 무악공원",02-2148-1858,서울특별시 종로구청,2018-08-16
"교남동","경교장, 딜쿠샤 등 근현대사 여행 및 도심 속 황토흙길 여행",3,2시간,경기감영 터,서울특별시 종로구 새문안로 9,서울특별시 종로구 새문안로 9,행촌길,서울특별시 종로구 사직로 9,서울특별시 종로구 행촌동 171-1,경기감영 터 → 4?19 혁명 기념 도서관(이기붕 집) → 돈의문 터 → 경교장 → 기상청 → 월암동 각자바위 및 월암공원 → 홍난파  가옥 → 딜쿠샤  권율 도원수 집터 → 개미마을 → 한양도성안길 전망대(청와대전망) → 행촌동 넓은 마당 → 행촌길,02-2148-1858,서울특별시 종로구청,2018-08-16
"북촌A",북촌 1233동 한옥길을 따라 걷는 길,3,2시간30분,북촌문화센터,서울특별시 종로구 계동길 37,서울특별시 종로구 계동 105,서울교육박물관,서울특별시 종로구 북촌로5길 48,서울특별시 종로구 화동 2,북촌문화센터 → 청원산방 → 인촌 김성수 가옥 → 배렴 가옥 → 유심사 터 → 석정보름 우물터 → 송진우 가옥 → 원서동 공방길(북촌2경) → 빨래터 → 백홍범 가옥 → 고희동 가옥 → 중앙중고등학교 → 가회동 공방길(북촌3경) → 가회동 31번지(북촌 4~7경)→ 돌계단길(북촌8경) → 복정우물 → 장원서터 → 서울교육박물관,02-2148-1858,서울특별시 종로구청,2018-08-16
"북촌B(가회동)",북촌 1233동 한옥길을 따라 걷는 길,3,2시간30분,북촌문화센터,서울특별시 종로구 계동길 37,서울특별시 종로구 계동 105,경복궁 돌담길,서울특별시 종로구 세종로 1-91,서울특별시 종로구 세종로 1-91,"북촌문화센터 → 재동초등학교 → 락고재 한옥체험관 → 청원산방 → 유심사 터 → 배렴 가옥 → 석정보름 우물터 → 중앙중고등학교 → 가회동 공방길(한상수 자수박물관, 북촌문화체험센터, 가회민화박물관 등) → 가회동 31번지→ 맹사성 집터 및 동양문화박물관→ 삼청동 전망대 → ''''화개길'''' 벽화 골목 → 서울교육박물관 → 경복궁 돌담길",02-2148-1858,서울특별시 종로구청,2018-08-16
"북촌C(계동/원서동)",북촌 1233동 한옥길을 따라 걷는 길,3,2시간30분,북촌문화센터,서울특별시 종로구 계동길 37,서울특별시 종로구 계동 105,북촌1경,서울특별시 종로구 원서동 141-4,서울특별시 종로구 원서동 141-4,북촌문화센터 → 청원산방 → 인촌 김성수 가옥 → 배렴 가옥 → 유심사 터 → 석정보름 우물터 → 중앙중고등학교 → 북촌2경      → 빨래터 → 백홍범 가옥 → 고희동 가옥 → 송진우 가옥 → 은덕문화원(금위영 서영터) → 북촌1경(→창덕궁),02-2148-1858,서울특별시 종로구청,2018-08-16
"종로14가","광화문에서 출발해 인사동문화거리, 관철동 젊음의 거리, 세운전자상가, 조명상가 등 다양하고 볼거리 많은 종로 청계관광특구를 여행하는 코스",4,2시간,고종즉위40년칭경기념비,서울특별시 종로구 세종로 142-3,서울특별시 종로구 세종로 142-3,관철동젊음의 거리,서울특별시 종로구 종로 73,서울특별시 종로구 종로2가 84-11,고종 즉위 40년 칭경기념비 → 조계사 → 우정총국 → 인사동길 → 탑골공원 및 원각사지 10층 석탑 → 종묘 → 세운 전자 상가 → 청계천 → 관철동 젊음의 거리&지하쇼핑센터,02-2148-1858,서울특별시 종로구청,2018-08-16
"종교문화유적길",역사문화적 가치가 높은 각 종교별 최고의 성전을 걷는 길,3,2시간,승동교회,서울특별시 종로구 인사동길 7-1,서울특별시 종로구 인사동 137,우포도청 터,서울특별시 종로구 세종로동 139,서울특별시 종로구 세종로동 139,승동교회 → 천도교 중앙대교당(경운동 민병옥 가옥) → 석정 보름 우물 → 가회동 성당 → 조계사 → 형조 터 → 우포도청 터,02-2148-1858,서울특별시 종로구청,2018-08-16
"익선동A","익선동의 카페와 음식점, 한옥마을, 주얼리센터 등을 탐방하는 길",2,2시간,익선동 상점거리,서울특별시 종로구 돈화문로11길 26,서울특별시 종로구 낙원동 103,종묘,서울특별시 종로구 종로 157,서울특별시 종로구 훈정동 1-2,익선동 상점거리 → 익선동 한옥마을 → 떡 박물관 → 주얼리지원센터 → 서순라길 → 종묘,02-2148-1858,서울특별시 종로구청,2018-08-16
"익선동B(서순라길)","익선동의 카페와 음식점, 한옥마을, 주얼리센터 등을 탐방하는 길",3,2시간,인사동,서울특별시 종로구 관훈동 113,서울특별시 종로구 관훈동 113,창덕궁,서울특별시 종로구 율곡로 99,서울특별시 종로구 와룡동 2-71,인사동 → 익선동 상점거리 → 익선동 한옥마을 → 서순라길 → 주얼리지원센터 → 주얼리 공방거리 → 돈화문 국악당 → 창덕궁,02-2148-1858,서울특별시 종로구청,2018-08-16
"종로56가",시장따라 골목따라 종로의 맛집 및 쇼핑을 즐길 수 있는 길,3,2시간,흥인지문,서울특별시 종로구 종로 288,서울특별시 종로구 종로6가 69,광장시장,서울특별시 종로구 창경궁로 88,서울특별시 종로구 예지동 2-1,흥인지문(동대문) → 한양도성박물관 → 서울성곽길 → 꽃시장골목 → 도서도매상가 → 닭한마리 골목→신진시장 → 광장시장,02-2148-1858,서울특별시 종로구청,2018-08-16
"광장시장","빈대떡을 비롯한 각종 먹거리와 한복, 폐백, 침구류 등 다양한 품목을 판매하는 종합시장을 둘러보는 길",2,2시간,직물부,서울특별시 종로구 동호로 398,서울특별시 종로구 종로5가 194-1,먹거리,서울특별시 종로구 청계천로 211-7,서울특별시 종로구 예지동 296-19,직물부 → 의류부자재 → 구제시장 → 농수산물 → 먹거리,02-2148-1858,서울특별시 종로구청,2018-08-16
"이화동A","오래된 집들 그리고 비좁은 골목길과 마주하는 70,80년대 시간여행을 하는 길",3,3시간,서울 경모궁지,서울특별시 종로구 대학로 101,서울특별시 종로구 연건동 28-21,구 서울대학교 본관,서울특별시 종로구 동숭길 3,서울특별시 종로구 동숭동 1-130,서울 경모궁지 → 대한의원 → 구 공업전습소 본관 → 쇳대박물관 → 이화장 → 이화 벽화마을 → 홍덕이 밭 → 낙산공원 및 팔각정 → 마로니에 공원 → 구 서울대학교 본관,02-2148-1858,서울특별시 종로구청,2018-08-16
"이화동B(이화창신)","오래된 집들 그리고 비좁은 골목길과 마주하는 70,80년대 시간여행을 하는 길",3,3시간,구 서울대학교 본관,서울특별시 종로구 동숭길 3,서울특별시 종로구 동숭동 1-130,창신시장,서울특별시 종로구 종로51길 36-3,서울특별시 종로구 창신동 138-11,구 서울대학교 본관 → 이화장 → 이화 벽화마을 → 낙산공원 → 한양도성 → 절개지 → 안양암 → 창신시장,02-2148-1858,서울특별시 종로구청,2018-08-16
"혜화명륜동A","우리 문화 살리는 ''''짚풀 생활사 박물관'''', 왕의 문묘 행차길 ''''거둥길''''을 걷는 길",2,2시간,서울연극센터,서울특별시 종로구 대명길 3,서울특별시 종로구 명륜4가 1,혜화문,서울특별시 종로구 창경궁로 307,서울특별시 종로구 혜화동 28-6,서울연극센터 → 대명거리 → 짚풀 생활사 박물관 → 한무숙 기념관  → 장면 가옥 → 혜화동 주민센터 → 혜화문,02-2148-1858,서울특별시 종로구청,2018-08-16
"혜화명륜동B","우리 문화 살리는 ''''짚풀 생활사 박물관'''', 왕의 문묘 행차길 ''''거둥길''''을 걷는 길",2,2시간,서울연극센터,서울특별시 종로구 대명길 3,서울특별시 종로구 명륜4가 1,하늘계단,서울특별시 종로구 명륜10길 34,서울특별시 종로구 명륜3가 1-1112,서울연극센터 → 대명거리 → 탕평비 및 하마비 → 서울 문묘와 성균관 → 하늘 계단,02-2148-1858,서울특별시 종로구청,2018-08-16
"창신동A","일상의 냄새를 풍기는 소박한 삶의 터전, 창신동 골목길",2,2시간,안양암 석감마애관음보살상,서울특별시 종로구 창신동 창신5길 61,서울특별시 종로구 창신동 130-1,청계천로,서울특별시 종로구 창신동 436-88,서울특별시 종로구 창신동 436-88,안양암 석감마애 관음보살상 → 돌계단의 붉은 벽돌집 → 당고개공원 → 절개지 → 창신시장 → 문구 완구 시장&수족관 상가 → 청계천로,02-2148-1858,서울특별시 종로구청,2018-08-16
"창신동B(봉제마을)",마을 곳곳에서 봉제기계와 라디오 음악소리를 들을 수 있는 살아있는 봉제거리박물관,3,2시간,낙산공원,서울특별시 종로구 창신동 615-208,서울특별시 종로구 창신동 615-208,안양암,서울특별시 종로구 창신동 창신5길 61,서울특별시 종로구 창신동 130-1,낙산공원 → 000간 → 뭐든지 도서관 → 이스트 인디고 →아트 브릿지 → 라디오방송국 덤 → 돌산 밑 마을 → 드라마 ‘시크릿가든’ 촬영지 → 당고개공원 → 회오리 길 → 홍표실 집 → 창신시장 → 봉제거리박물관 → 안양암,02-2148-1858,서울특별시 종로구청,2018-08-16
"창신동C(창신예술혼길)",국민 화가 박수근과 미디어아트의 창시자 백남준의 사연이 담긴 골목길을 걷는 코스,3,2시간,낙산공원,서울특별시 종로구 창신동 615-208,서울특별시 종로구 창신동 615-208,박수근 작업실 터,서울특별시 종로구 지봉로 11,서울특별시 종로구 창신동 393-16,낙산공원 → 절개지와 돌산 밑 마을 → 영화 ‘건축학개론’ 촬영지 → 드라마 ‘시크릿 가든’ 촬영지 → 드라마 ‘미생’ 촬영지 →  안양암 → 백남준 생가 터 → 문구 완구 시장&수족관 상가 → 박수근 작업실 터,02-2148-1858,서울특별시 종로구청,2018-08-16
"숭인동",영영이별 영이별 정순왕후의 애절한 삶을 알아보는 길,2,2시간,비우당,서울특별시 종로구 창신동 9-471,서울특별시 종로구 창신동 9-471,영도교,서울특별시 종로구 숭인동 234-89,서울특별시 종로구 숭인동 234-89,비우당 → 정업원 터 및 청룡사 → 동망봉→ 동망정 → 낙산 묘각사 → 풍물거리시장 → 서울동관왕묘 → 영도교,02-2148-1858,서울특별시 종로구청,2018-08-16
"세종한울길","세종대왕의 과학, 예술, 문화, 학문 등 전 분야에서 독창적이고 획기적인 업적을 이뤄냈던 흔적을 찾아 걸어보는 길",3,3시간,세종대왕 동상,서울특별시 종로구 세종대로 172,서울특별시 종로구 세종로 1-68,관상감 관천대,서울특별시 종로구 원서동 206-2,서울특별시 종로구 원서동 206-2,세종대왕 동상 → 광화문 광장 ‘세종이야기’ 홍보관 → 세종문화회관 → 세종예술의 정원(장예원 터)→ 세종로공원 ‘한글 글자 마당’→ 경복궁 → 화동 고개 → 관상감 관천대,02-2148-1858,서울특별시 종로구청,2018-08-16
"시전행랑길",매장 문화재 보존 유적을 탐방하는 코스,1,2시간,교보빌딩 동측,서울특별시 종로구 종로 33,서울특별시 종로구 종로1가 89,그랑서울,서울특별시 종로구 종로 33,서울특별시 종로구 청진동 119-1,교보빌딩 동측(혜정교터) → D타워 서측 → KT광화문빌딩 → D타워 북측 → 르메이에르 종로타운 → 타워8 → 그랑서울,02-2148-1858,서울특별시 종로구청,2018-08-16
